epoch,train_mse,val_mse,train_mae,val_mae,lr,epoch_time_s
1,0.102959,0.08183,0.22509,0.181232,0.0001,5.63
2,0.072727,0.06923,0.179484,0.15606,0.0001,5.6
3,0.06331,0.067428,0.16683,0.155191,0.0001,5.61
4,0.0551,0.064923,0.155801,0.161002,0.0001,5.57
5,0.048128,0.083643,0.148367,0.19932,0.0001,5.57
6,0.042405,0.091191,0.139802,0.215597,0.0001,5.59
7,0.038574,0.061361,0.134837,0.157159,0.0001,5.57
8,0.033711,0.060344,0.127928,0.15269,0.0001,5.62
9,0.028949,0.057804,0.118788,0.151136,0.0001,5.63
10,0.025063,0.054822,0.112974,0.145826,0.0001,5.62
11,0.022206,0.057039,0.106839,0.162924,0.0001,5.62
12,0.019384,0.064825,0.101062,0.163764,0.0001,5.57
13,0.017449,0.054315,0.095629,0.150191,0.0001,5.61
14,0.015729,0.056503,0.092198,0.159163,0.0001,5.57
15,0.014118,0.060505,0.087388,0.156571,0.0001,5.62
16,0.013164,0.053796,0.085527,0.150816,0.0001,5.63
17,0.011913,0.051169,0.080988,0.142197,0.0001,5.61
18,0.011617,0.050465,0.080353,0.139558,0.0001,5.61
19,0.011175,0.055982,0.078228,0.147133,0.0001,5.65
20,0.010133,0.071992,0.074226,0.185554,0.0001,5.61
21,0.00995,0.052579,0.074503,0.141882,0.0001,5.57
22,0.009459,0.053443,0.072575,0.140856,5e-05,5.55
23,0.007983,0.050623,0.066524,0.139963,5e-05,5.62
24,0.007067,0.049528,0.062954,0.132286,5e-05,5.63
25,0.006798,0.050012,0.062387,0.133691,5e-05,5.6
26,0.006661,0.049939,0.061571,0.135047,5e-05,5.55
27,0.006485,0.049958,0.060746,0.136819,5e-05,5.58
28,0.005941,0.050011,0.05851,0.133607,2.5e-05,5.53
29,0.006104,0.049469,0.058815,0.133248,2.5e-05,5.56
30,0.006175,0.048931,0.05915,0.13284,2.5e-05,5.57
31,0.0055,0.049616,0.055757,0.13448,2.5e-05,5.59
32,0.005415,0.050083,0.055928,0.132021,2.5e-05,5.64
33,0.005331,0.050778,0.054862,0.136849,2.5e-05,5.62
34,0.005491,0.050945,0.055852,0.139103,1.25e-05,5.64
35,0.005126,0.049454,0.053667,0.132485,1.25e-05,5.55
36,0.005291,0.049901,0.055155,0.133527,1.25e-05,5.58
37,0.005065,0.049907,0.05442,0.135597,1.25e-05,5.56
38,0.0048,0.049888,0.05253,0.134601,6.25e-06,5.57
39,0.004487,0.050157,0.050755,0.133552,6.25e-06,5.56
40,0.004893,0.049571,0.052678,0.134554,6.25e-06,5.59
41,0.004593,0.050005,0.05122,0.135528,6.25e-06,5.54
42,0.005063,0.050473,0.053672,0.136946,3.125e-06,5.55
43,0.004379,0.050204,0.050424,0.134219,3.125e-06,5.54
44,0.004129,0.050029,0.048755,0.133526,3.125e-06,5.54
45,0.004866,0.050168,0.052956,0.13582,3.125e-06,5.55
46,0.004414,0.049599,0.050341,0.133438,1.5625e-06,5.58
47,0.004648,0.049523,0.052143,0.133286,1.5625e-06,5.6
48,0.004682,0.049284,0.051714,0.132305,1.5625e-06,5.58
49,0.004573,0.050397,0.050707,0.137104,1.5625e-06,5.55
50,0.004595,0.050057,0.05128,0.134239,7.8125e-07,5.56
