epoch,train_mse,val_mse,train_mae,val_mae,lr,epoch_time_s
1,0.17428,0.153498,0.294315,0.269414,0.0001,7.38
2,0.148297,0.147491,0.272372,0.269131,0.0001,7.33
3,0.134242,0.136331,0.264629,0.268609,0.0001,7.33
4,0.123451,0.156157,0.254768,0.294091,0.0001,7.45
5,0.114376,0.138072,0.24671,0.267723,0.0001,7.36
6,0.106649,0.123702,0.239174,0.250324,0.0001,7.42
7,0.10073,0.124905,0.231911,0.261289,0.0001,7.38
8,0.095208,0.121079,0.224687,0.254705,0.0001,7.38
9,0.090631,0.115047,0.218261,0.236138,0.0001,7.37
10,0.085552,0.110989,0.211572,0.239916,0.0001,7.32
11,0.082546,0.114788,0.206357,0.243984,0.0001,7.38
12,0.07876,0.115085,0.201003,0.241749,0.0001,7.34
13,0.074284,0.2239,0.194195,0.377231,0.0001,7.43
14,0.071974,0.190143,0.190354,0.341371,5e-05,7.45
15,0.061659,0.106141,0.17585,0.231154,5e-05,7.45
16,0.058762,0.101698,0.170746,0.21812,5e-05,7.34
17,0.056399,0.107714,0.166085,0.228117,5e-05,7.33
18,0.055559,0.102723,0.163873,0.218596,5e-05,7.42
19,0.052699,0.105311,0.160483,0.229123,5e-05,7.24
20,0.051993,0.105355,0.157906,0.223726,2.5e-05,7.36
21,0.045978,0.115364,0.148632,0.241149,2.5e-05,7.37
22,0.045034,0.099449,0.146517,0.207614,2.5e-05,7.44
23,0.043466,0.101545,0.143528,0.21207,2.5e-05,7.43
24,0.042539,0.10001,0.142059,0.208379,2.5e-05,7.45
25,0.041863,0.107591,0.140254,0.224134,2.5e-05,7.46
26,0.040871,0.102012,0.139384,0.212673,1.25e-05,7.4
27,0.0376,0.100604,0.133159,0.208817,1.25e-05,7.4
28,0.036564,0.100563,0.13102,0.209308,1.25e-05,7.41
29,0.03666,0.102219,0.131009,0.215181,1.25e-05,7.39
30,0.035617,0.10194,0.128706,0.2133,6.25e-06,7.4
31,0.034092,0.102118,0.126677,0.209822,6.25e-06,7.36
32,0.03452,0.099588,0.126807,0.20588,6.25e-06,7.34
33,0.034097,0.101779,0.125881,0.209354,6.25e-06,7.3
34,0.033291,0.1018,0.124606,0.210134,3.125e-06,7.38
35,0.032025,0.099866,0.121866,0.206359,3.125e-06,7.57
36,0.032201,0.100668,0.122554,0.207678,3.125e-06,7.4
37,0.032317,0.100609,0.122851,0.207282,3.125e-06,7.52
38,0.032147,0.100323,0.122083,0.207256,1.5625e-06,7.52
39,0.031575,0.10039,0.120974,0.206022,1.5625e-06,7.41
40,0.031367,0.101029,0.120965,0.207424,1.5625e-06,7.53
41,0.030908,0.101275,0.119855,0.207624,1.5625e-06,7.58
42,0.032079,0.101544,0.122068,0.208156,7.8125e-07,7.43
43,0.031723,0.100294,0.121107,0.206933,7.8125e-07,7.48
44,0.031423,0.101075,0.120988,0.207595,7.8125e-07,7.41
45,0.03119,0.10119,0.120782,0.206924,7.8125e-07,7.28
46,0.031301,0.100648,0.120666,0.206829,3.90625e-07,7.3
47,0.031194,0.100642,0.120459,0.206274,3.90625e-07,7.48
48,0.030639,0.10037,0.119554,0.205813,3.90625e-07,7.42
49,0.031023,0.100987,0.119487,0.20665,3.90625e-07,7.39
50,0.031041,0.101037,0.119625,0.207006,1.953125e-07,7.43
