epoch,train_mse,val_mse,train_mae,val_mae,lr,epoch_time_s
1,0.10607,0.093565,0.233119,0.22483,0.0001,3.29
2,0.083823,0.083194,0.204215,0.19297,0.0001,2.83
3,0.074279,0.075403,0.192981,0.178751,0.0001,2.82
4,0.064327,0.073601,0.17952,0.186543,0.0001,2.85
5,0.057455,0.070694,0.16872,0.183326,0.0001,2.84
6,0.052997,0.06687,0.16141,0.167542,0.0001,2.85
7,0.046339,0.065799,0.150902,0.17056,0.0001,2.86
8,0.044104,0.067367,0.147225,0.169654,0.0001,2.86
9,0.040969,0.065393,0.140769,0.165261,0.0001,2.83
10,0.038781,0.061511,0.136606,0.162475,0.0001,2.84
11,0.036671,0.06394,0.13276,0.166078,0.0001,2.84
12,0.035797,0.064088,0.131419,0.163132,0.0001,2.84
13,0.032855,0.065275,0.126045,0.164484,0.0001,2.87
14,0.031626,0.068281,0.12262,0.16789,5e-05,2.84
15,0.027206,0.063581,0.113281,0.158231,5e-05,2.86
16,0.025463,0.063228,0.109527,0.156299,5e-05,2.87
17,0.0244,0.06625,0.10705,0.1612,5e-05,2.87
18,0.023475,0.062585,0.104593,0.156437,2.5e-05,2.88
19,0.022165,0.062935,0.10098,0.154422,2.5e-05,2.87
20,0.020789,0.064088,0.098827,0.156383,2.5e-05,2.87
21,0.021693,0.06427,0.09966,0.1574,2.5e-05,2.9
22,0.020112,0.065819,0.096051,0.16135,1.25e-05,2.88
23,0.019039,0.06366,0.093034,0.155401,1.25e-05,2.87
24,0.018648,0.063558,0.09228,0.155218,1.25e-05,2.86
25,0.018917,0.063414,0.092623,0.155702,1.25e-05,2.87
26,0.018225,0.064208,0.090922,0.157052,6.25e-06,2.85
27,0.016845,0.063901,0.087801,0.155913,6.25e-06,2.86
28,0.01756,0.064175,0.089601,0.156799,6.25e-06,2.86
29,0.01654,0.063637,0.085785,0.156019,6.25e-06,2.88
30,0.017354,0.064033,0.090027,0.156534,3.125e-06,2.85
31,0.016791,0.064229,0.087484,0.156745,3.125e-06,2.89
32,0.016507,0.063799,0.087007,0.155068,3.125e-06,2.87
33,0.016168,0.064345,0.08564,0.158617,3.125e-06,2.88
34,0.016489,0.063942,0.086283,0.156484,1.5625e-06,2.88
35,0.01694,0.063956,0.088282,0.157378,1.5625e-06,2.86
36,0.016973,0.063771,0.088882,0.156436,1.5625e-06,2.86
37,0.016508,0.064068,0.086519,0.156155,1.5625e-06,2.88
38,0.01666,0.064256,0.087786,0.156393,7.8125e-07,2.87
39,0.016704,0.064094,0.087479,0.157263,7.8125e-07,2.87
40,0.016148,0.063834,0.086421,0.156632,7.8125e-07,2.86
41,0.01613,0.06487,0.085752,0.158294,7.8125e-07,2.89
42,0.016384,0.064143,0.086064,0.157556,3.90625e-07,2.88
43,0.016258,0.064617,0.085942,0.157537,3.90625e-07,2.87
44,0.016681,0.063853,0.087751,0.155894,3.90625e-07,2.87
45,0.016412,0.064093,0.086339,0.155382,3.90625e-07,2.87
46,0.016192,0.064382,0.08605,0.157178,1.953125e-07,2.89
47,0.015876,0.064067,0.086053,0.156938,1.953125e-07,2.87
48,0.016416,0.064028,0.08691,0.15676,1.953125e-07,2.86
49,0.016357,0.063848,0.087488,0.155566,1.953125e-07,2.87
50,0.015292,0.063723,0.083824,0.155913,9.765625e-08,2.89
